speaker_reference,text,generated_wav,language,Speaker Name,Model Name
audios_demo/Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," On the outlying islands credit cards will probably not be accepted, although British and United States currency may be taken; check with the owners in advance to determine what is an acceptable payment method.",audios_demo/Evaluation/HierSpeech++/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_7.wav,en,f10_script2,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.",audios_demo/Evaluation/HierSpeech++/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_19.wav,en,f1_script1,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, His work is of such recognized quality and detail that he is one of the very few household names among philatelists. Some specialize in collecting his work alone.,audios_demo/Evaluation/HierSpeech++/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_28.wav,en,f2_script1,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f3_script1_clean_segment_45.wav," Due to the underwater topology the return flow is concentrated at a few deeper sections, and a fast current to deep water may form there.",audios_demo/Evaluation/HierSpeech++/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_47.wav,en,f3_script1,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f4_script2_clean_segment_10.wav, Professor Pamela Ferguson of the University of Dundee notes journalists do seem to be walking a dangerous line if publishing photos etc of suspects.,audios_demo/Evaluation/HierSpeech++/Audios/f4_script2_clean_segment_10.wav/f4_script2_clean_segment_10.wav_en_56.wav,en,f4_script2,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f5_script1_clean_segment_35.wav," In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.",audios_demo/Evaluation/HierSpeech++/Audios/f5_script1_clean_segment_35.wav/f5_script1_clean_segment_35.wav_en_67.wav,en,f5_script1,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f6_script2_clean_segment_22.wav," Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.",audios_demo/Evaluation/HierSpeech++/Audios/f6_script2_clean_segment_22.wav/f6_script2_clean_segment_22.wav_en_82.wav,en,f6_script2,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f7_script1_clean_segment_41.wav," The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",audios_demo/Evaluation/HierSpeech++/Audios/f7_script1_clean_segment_41.wav/f7_script1_clean_segment_41.wav_en_84.wav,en,f7_script1,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f8_script2_clean_segment_4.wav," Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.",audios_demo/Evaluation/HierSpeech++/Audios/f8_script2_clean_segment_4.wav/f8_script2_clean_segment_4.wav_en_99.wav,en,f8_script2,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/f9_script2_clean_segment_13.wav," Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.",audios_demo/Evaluation/HierSpeech++/Audios/f9_script2_clean_segment_13.wav/f9_script2_clean_segment_13.wav_en_114.wav,en,f9_script2,4 HierSpeech++
audios_demo/Evaluation/References_DAPS/m10_script2_clean_segment_26.wav," It is still produced today, but more importantly its aspect ratio has been inherited by digital camera image sensor formats.",audios_demo/Evaluation/HierSpeech++/Audios/m10_script2_clean_segment_26.wav/m10_script2_clean_segment_26.wav_en_127.wav,en,m10_script2,4 HierSpeech++
